beta_t,beta,best_actor_num,mean-okl/0,mean-bkl/0,mean-okl/1,mean-bkl/1,mean-okl/2,mean-bkl/2,mean-okl/3,mean-bkl/3,return-average/0,episode-length-avg/0,return-average/1,episode-length-avg/1,return-average/2,episode-length-avg/2,return-average/3,episode-length-avg/3,return-average,time-eval,time-total,epoch,avg-path-return/0,total-samples/0,avg-path-return/1,total-samples/1,avg-path-return/2,total-samples/2,avg-path-return/3,total-samples/3
1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,934.4852996544736,1000.0,822.7162678568017,1000.0,912.6099792110296,1000.0,916.3354242266075,1000.0,896.536742737228,0,77.13697769783903,0,-19.997591086042437,1000.0,-14.55918821065327,1000.0,-28.194988472249502,1000.0,-15.896765996522484,1000.0
1,1,0,nan,nan,nan,nan,nan,nan,nan,nan,936.2428245916668,1000.0,821.8112485981076,1000.0,918.2513918760117,1000.0,914.5866030406096,1000.0,897.7230170265989,0,152.91407476481982,4,-13.572069999055017,2000.0,-40.59467455452913,2000.0,-26.199798768064266,2000.0,-49.71124042753646,2000.0
0.5,0.5,1,0.046324715,0.06788315,0.0591381,0.0591381,0.046664078,0.0693301,0.051773697,0.07625286,623.2240383060765,1000.0,653.4367284343756,901.6,547.3883222851653,1000.0,701.4123263759683,1000.0,631.3653538503964,75.78229021700099,439.41326000203844,8,-64.08383940091815,3000.0,-41.06241129046633,3000.0,-28.797024943431655,3000.0,-25.631517661061174,3000.0
0.25,0.25,1,0.118597984,0.37622017,0.12860988,0.12860988,0.14278427,0.38940233,0.11553198,0.37874347,-21.203056104475177,45.2,-349.9980445180693,231.2,-313.1790431463062,262.4,-300.5359559381119,296.7,-246.22902492674066,69.65111185004935,882.6707992608426,12,-126.51270579160546,4000.0,-12.158019018969366,4000.0,-85.66346291122906,4000.0,-97.12316595194298,4000.0
4.0,4.0,2,0.09389991,0.3598774,0.10947865,0.34728307,0.10080359,0.10080359,0.096817605,0.37610915,-26.528780620543053,38.2,-140.65793604722467,147.2,-50.87332593499405,50.5,-143.3884831687571,149.2,-90.36213144287971,14.695983153069392,1315.2217791907024,16,-126.24296487950008,5000.0,-175.19898596461002,5000.0,-210.30256707973234,5000.0,-103.5054917968059,5000.0
16.0,16.0,0,0.10445247,0.10445247,0.08759599,0.23770499,0.09931082,0.2576556,0.12246051,0.26681373,-45.826314039903956,46.7,-159.8311537140726,305.5,-362.5235567708553,636.9,-79.17224161199358,363.1,-161.83831653420637,5.744538849918172,1763.846872449736,20,-33.760191733986545,6000.0,-274.70303013093456,6000.0,-341.1414579997369,6000.0,-239.21440491393705,6000.0
16.0,16.0,0,0.10171269,0.10171269,0.07591421,0.22229125,0.095442936,0.26410985,0.08654286,0.27847704,-228.85653317074087,141.4,-113.75297195833745,203.0,-656.857399730395,817.0,-127.16372729344232,139.6,-281.6576580382289,23.71230723010376,2210.644382682978,24,-28.39368609743958,7000.0,-118.83803061306241,7000.0,-436.6853801345427,7000.0,-242.0454079881484,7000.0
16.0,16.0,1,0.056020558,0.14133307,0.18621008,0.18621008,0.07003193,0.1980935,0.15194675,0.21597096,-112.63557975611039,175.2,-408.93423795262345,261.3,-400.62415571786835,351.1,-257.9849092894548,229.6,-295.04472067901423,21.971694741980173,2649.796102881548,28,-239.47940736886045,8000.0,-99.72562369860864,8000.0,-424.98016530922234,8000.0,-105.92257597820921,8000.0
16.0,16.0,1,0.07656597,0.24613307,0.128987,0.128987,0.10142593,0.3168465,0.11290657,0.3321974,-197.6848467081058,237.7,-233.54000570024655,126.1,-223.38814315435175,342.3,-57.92958332937193,82.2,-178.135644723019,17.477896816912107,3085.7212974386057,32,-318.54130471113757,9000.0,-106.12838242349531,9000.0,-221.99697791803837,9000.0,-226.16856990632778,9000.0
32.0,32.0,3,0.05813441,0.14744541,0.1534278,0.16432399,0.07467674,0.21138966,0.1920794,0.1920794,-121.84413518201598,409.1,-187.36702267027627,186.0,-669.2189305481761,614.5,-309.8090793560581,167.9,-322.0597919391316,13.846215971047059,3534.8055366247427,36,-319.5758258040088,10000.0,-322.60446385986677,10000.0,-275.48097104683336,10000.0,-225.2421339896332,10000.0
